720575940628908548,10046,10157
720575940616141378,29539,60485
720575940635928939,30824,129745
720575940606014566,144157,198942
720575940629205291,26690,101415
720575940612079054,32280,98804
720575940618752837,151822,108107
720575940612686834,120956,127010
720575940622377343,542238,163510
720575940626293379,51260,150163
720575940629774071,31133,143274
720575940628144714,31095,147079
720575940617841297,34968,138322
720575940614454183,32245,119640
720575940639122502,32711,550463
720575940636073567,55758,115530
720575940623249702,140554,572637
720575940619906251,39301,95513
720575940639246645,148997,110717
720575940627642757,65107,109733
720575940624092868,22180,199300
720575940611462350,34258,115306
720575940621833142,37548,119424
720575940626272002,44363,30734
720575940634732439,41669,132408
720575940625523436,38186,125133
720575940605813350,33616,551809
720575940636484453,38366,136374
720575940615556246,159072,101319
720575940623738820,36293,97910
720575940636104811,96416,112202
720575940659862401,28053,131231
720575940627777129,21682,65677
720575940630812111,87963,97281
720575940626692389,145765,545599
720575940622143770,32011,550707
720575940631372406,37862,108931
720575940624194229,34310,138536
720575940617865105,90008,116417
720575940619862987,167109,170383
720575940609567957,110218,127409
720575940620749761,33272,126026
720575940617686356,111619,104835
720575940624081993,39652,73962
720575940625306812,33542,70349
720575940617557204,96828,99288
720575940632502543,38433,132932
720575940616704596,134193,126079
720575940625944252,30235,115557
720575940624909319,525869,124592
720575940615320994,44106,140493
720575940616433269,145258,186215
720575940640566845,89486,227593
720575940624834539,98023,115250
720575940621023214,85369,96501
720575940640881752,117349,115026
720575940626724400,38739,136018
720575940629099779,33084,114975
720575940613068970,146584,169025
720575940619963697,30861,81454
720575940613633576,130253,94858
720575940624214089,131466,71939
720575940613208293,31969,137099
720575940614932191,27066,134766
720575940645621870,159972,549313
720575940630405676,95259,900370
720575940641558491,139805,176081
720575940626157578,152488,118261
720575940620750273,145842,550921
720575940620865473,145453,137146
720575940617290582,28145,79526
720575940634350584,149389,514831
720575940624504042,211898,83134
720575940616614742,134215,138710
720575940613867183,184925,125683
720575940638473050,153053,132694
720575940620227823,95531,134638
720575940625655192,89845,76273
720575940625260839,94831,105164
720575940636849509,115472,112117
720575940638711878,142621,519966
720575940611079010,114693,149851
720575940633121692,120580,112128
720575940646966819,110131,108951
720575940624477111,119672,217874
720575940619818033,122689,547117
720575940614448337,43994,109849
720575940625171431,116974,132983
720575940616361228,118645,109160
720575940633774818,114584,86280
720575940622221606,117298,551338
720575940639605107,46147,87079
720575940614695599,144201,539379
720575940616264646,37169,133986
720575940614366111,34235,529368
720575940619926321,145128,137759
720575940634372600,111588,122033
720575940631863864,101801,122508
